ts,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,FL_x,FL_y,FL_z,FR_x,FR_y,FR_z,BL_x,BL_y,BL_z,BR_x,BR_y,BR_z,FL_contact,FR_contact,BL_contact,BR_contact,gt_pos_x,gt_pos_y,gt_pos_z,gt_rot_w,gt_rot_x,gt_rot_y,gt_rot_z,state_est_rot_w,state_est_rot_x,state_est_rot_y,state_est_rot_z,state_est_pos_x,state_est_pos_y,state_est_pos_z
1747821628.19661,-1.086967587,2.130839586,4.007893562,0.182160199,-0.070307441,-0.053263217,0.128604386,0.169898003,-0.308816171,0.237116192,-0.15493972,-0.319005865,-0.129195446,0.165245602,-0.313168844,-0.244202945,-0.158390702,-0.306601427,0,1,1,0,5064.530273438,-7.912356853,299.50112915,0.32373932,0.00938685,-0.019431468,0.945900202,-0.126004332,0.003786053,-0.009464303,0.991977319,-1.585168545,0.20256167,0.229523321
1747821628.20453,-0.572214186,0.493205547,5.529408932,0.058589537,-0.143810689,-0.183225468,0.132730408,0.170468901,-0.305821788,0.231343686,-0.155204659,-0.319738628,-0.133523995,0.165992788,-0.313344206,-0.239993367,-0.160381869,-0.30353206,0,1,1,0,5061.165039063,-5.362082481,300.235137939,0.323813558,0.010189548,-0.018768216,0.945879877,-0.125715729,0.004058374,-0.008996027,0.992017216,-1.588741677,0.201891524,0.229844477
1747821628.21183,-1.565807939,0.158017308,3.490746021,0.068176918,-0.251402378,-0.268446594,0.136493649,0.170668445,-0.30393607,0.22841767,-0.15547233,-0.319966595,-0.135362076,0.166596775,-0.313424422,-0.236379807,-0.161685037,-0.301431976,0,1,1,0,5057.823242188,-2.861783266,300.666107178,0.324447989,0.010555294,-0.018781679,0.945658147,-0.125084366,0.004559557,-0.008668727,0.99209776,-1.59174802,0.201406135,0.229952985
1747821628.22155,-0.118512981,-0.246602774,8.894459724,-0.061785329,-0.113983281,-0.319579303,0.144440804,0.170687487,-0.30081948,0.221349475,-0.155930945,-0.320748352,-0.138765379,0.16823185,-0.313094302,-0.227819799,-0.163936607,-0.296838101,0,1,1,0,5054.530761719,-0.353423715,300.808441162,0.325451344,0.011631331,-0.019160926,0.945293069,-0.123850093,0.005470674,-0.008704603,0.992247679,-1.59558189,0.200508608,0.229956963
1747821628.22894,-0.654814184,-0.472854823,5.97951889,-0.121440135,-0.018109493,-0.281229764,0.150943987,0.171236297,-0.297627893,0.216993611,-0.156112516,-0.321112086,-0.142952104,0.168740623,-0.313489452,-0.219090964,-0.165899396,-0.291511937,0,1,1,0,5051.254882813,2.013175011,300.799835205,0.326604962,0.011924305,-0.019109948,0.944892466,-0.122530544,0.005945145,-0.008977436,0.992406331,-1.600401206,0.199143174,0.230124265
1747821628.23699,-0.067037649,-0.349553436,8.475474358,-0.018109493,0.005326321,-0.258859217,0.161840094,0.171548948,-0.293189409,0.212498848,-0.156162577,-0.321080518,-0.146982324,0.169593861,-0.313445903,-0.208586848,-0.167117814,-0.287444232,0,1,1,0,5048.085449219,4.496209145,300.546966553,0.327749968,0.011884442,-0.019691851,0.944484472,-0.121479926,0.006020752,-0.009367006,0.992531429,-1.604066403,0.198064717,0.230027386
1747821628.2482,0.262165099,-1.713051319,10.472238541,0.102265373,0.076699033,-0.190682307,0.174460264,0.171503462,-0.288751039,0.20828776,-0.156085769,-0.321093575,-0.152395495,0.169726618,-0.313742364,-0.194832588,-0.168265776,-0.280296337,0,1,1,0,5044.956542969,6.983747482,300.213348389,0.328797698,0.011647459,-0.020518903,0.944105625,-0.120636428,0.00589355,-0.009241935,0.99263624,-1.607706903,0.197196117,0.230126595
1747821628.25393,0.572214186,0.113724582,11.077971458,0.046871629,0.182160199,-0.153398067,0.181923953,0.171237776,-0.286548635,0.206153323,-0.156037028,-0.320979325,-0.154856033,0.169592713,-0.313950172,-0.188174729,-0.16899029,-0.278334605,0,1,1,0,5041.794921875,9.474336624,299.857574463,0.329543293,0.011592777,-0.019502321,0.943867862,-0.119733678,0.005522904,-0.008807859,0.992751613,-1.611115189,0.19658427,0.230247169
1747821628.26204,-0.417788208,0.626083732,12.74553299,0.033023193,0.175768614,-0.14274542,0.194852566,0.170295907,-0.283796328,0.202326798,-0.155971466,-0.320871817,-0.158607863,0.169079013,-0.314319796,-0.173672475,-0.169299009,-0.272887567,0,1,1,0,5038.698242188,12.005257607,299.694396973,0.330078274,0.011070178,-0.019137802,0.943694592,-0.119049924,0.004677665,-0.008665226,0.992839438,-1.615682963,0.195445966,0.230083763
1747821628.27369,-0.106541976,-0.232237563,12.364854813,-0.085221142,0.190682307,-0.060720067,0.213389528,0.16777866,-0.279729647,0.198428397,-0.155992969,-0.320613268,-0.162650837,0.168620288,-0.314554588,-0.155511536,-0.168866813,-0.267271677,0,1,1,0,5035.581542969,14.530230522,299.607696533,0.330559552,0.010373133,-0.018613607,0.943544567,-0.118570486,0.003966837,-0.008842887,0.992898337,-1.618604294,0.19448031,0.230361818
